,mM,,uM
1282.4,4251,1282.32,1082
1283.05,4257,1282.97,1086
1283.71,4227,1283.63,1078
1284.36,4244,1284.28,1080
1285.02,4235,1284.94,1075
1285.67,4231,1285.59,1080
1286.32,4235,1286.24,1081
1286.98,4241,1286.9,1085
1287.63,4240,1287.55,1083
1288.29,4241,1288.2,1084
1288.94,4224,1288.86,1081
1289.59,4225,1289.51,1080
1290.25,4238,1290.16,1087
1290.9,4237,1290.82,1082
1291.55,4258,1291.47,1074
1292.21,4195,1292.12,1068
1292.86,4235,1292.77,1074
1293.51,4224,1293.43,1080
1294.16,4219,1294.08,1079
1294.82,4235,1294.73,1082
1295.47,4193,1295.38,1081
1296.12,4232,1296.03,1074
1296.77,4217,1296.69,1081
1297.42,4244,1297.34,1079
1298.07,4195,1297.99,1076
1298.73,4230,1298.64,1080
1299.38,4216,1299.29,1078
1300.03,4234,1299.94,1085
1300.68,4214,1300.59,1083
1301.33,4220,1301.24,1083
1301.98,4234,1301.89,1078
1302.63,4203,1302.54,1081
1303.28,4260,1303.19,1089
1303.93,4261,1303.84,1085
1304.58,4269,1304.49,1077
1305.23,4247,1305.14,1078
1305.88,4258,1305.79,1091
1306.53,4219,1306.44,1083
1307.18,4242,1307.09,1086
1307.83,4222,1307.74,1088
1308.48,4239,1308.39,1077
1309.13,4217,1309.04,1090
1309.78,4260,1309.69,1089
1310.43,4217,1310.34,1079
1311.08,4271,1310.99,1075
1311.73,4241,1311.63,1083
1312.38,4234,1312.28,1079
1313.02,4274,1312.93,1082
1313.67,4279,1313.58,1083
1314.32,4232,1314.23,1080
1314.97,4248,1314.87,1081
1315.62,4250,1315.52,1072
1316.26,4249,1316.17,1082
1316.91,4293,1316.82,1073
1317.56,4267,1317.46,1081
1318.21,4251,1318.11,1082
1318.85,4238,1318.76,1083
1319.5,4226,1319.41,1081
1320.15,4215,1320.05,1086
1320.79,4213,1320.7,1075
1321.44,4221,1321.34,1080
1322.09,4221,1321.99,1073
1322.73,4227,1322.64,1076
1323.38,4238,1323.28,1077
1324.03,4264,1323.93,1079
1324.67,4208,1324.57,1080
1325.32,4231,1325.22,1077
1325.96,4233,1325.87,1095
1326.61,4257,1326.51,1090
1327.25,4232,1327.16,1084
1327.9,4220,1327.8,1088
1328.55,4232,1328.45,1086
1329.19,4221,1329.09,1078
1329.84,4227,1329.74,1083
1330.48,4237,1330.38,1092
1331.12,4210,1331.02,1085
1331.77,4237,1331.67,1086
1332.41,4252,1332.31,1084
1333.06,4215,1332.96,1076
1333.7,4228,1333.6,1087
1334.35,4244,1334.24,1088
1334.99,4215,1334.89,1085
1335.63,4219,1335.53,1078
1336.28,4230,1336.17,1078
1336.92,4269,1336.82,1081
1337.56,4240,1337.46,1079
1338.21,4249,1338.1,1078
1338.85,4237,1338.75,1085
1339.49,4245,1339.39,1093
1340.14,4250,1340.03,1083
1340.78,4264,1340.67,1096
1341.42,4238,1341.32,1073
1342.06,4272,1341.96,1085
1342.7,4260,1342.6,1083
1343.35,4247,1343.24,1087
1343.99,4248,1343.88,1083
1344.63,4236,1344.52,1076
1345.27,4275,1345.17,1074
1345.91,4244,1345.81,1065
