,mM,,uM
790.511,4590,790.697,1177
791.267,4587,791.453,1171
792.023,4577,792.208,1164
792.779,4565,792.964,1176
793.535,4586,793.719,1178
794.291,4571,794.474,1174
795.046,4554,795.229,1187
795.801,4584,795.984,1181
796.557,4580,796.739,1176
797.312,4609,797.493,1185
798.067,4615,798.248,1172
798.821,4606,799.002,1170
799.576,4600,799.756,1179
800.33,4614,800.51,1172
801.085,4603,801.264,1178
801.839,4573,802.018,1176
802.593,4606,802.771,1178
803.346,4583,803.524,1181
804.1,4620,804.278,1182
804.854,4610,805.031,1182
805.607,4648,805.784,1177
806.36,4623,806.536,1179
807.113,4631,807.289,1181
807.866,4647,808.041,1187
808.619,4665,808.794,1181
809.371,4637,809.546,1176
810.124,4645,810.298,1183
810.876,4674,811.05,1182
811.628,4647,811.801,1190
812.38,4687,812.553,1169
813.132,4664,813.304,1185
813.884,4692,814.055,1191
814.635,4686,814.806,1201
815.387,4703,815.557,1192
816.138,4729,816.308,1186
816.889,4746,817.059,1192
817.64,4766,817.809,1185
818.391,4794,818.559,1197
819.141,4805,819.31,1189
819.892,4786,820.06,1197
820.642,4780,820.809,1186
821.392,4807,821.559,1208
822.142,4853,822.309,1198
822.892,4806,823.058,1198
823.642,4832,823.807,1195
824.391,4802,824.556,1193
825.141,4802,825.305,1193
825.89,4807,826.054,1192
826.639,4822,826.803,1193
827.388,4782,827.551,1193
828.137,4820,828.3,1193
828.885,4779,829.048,1193
829.634,4762,829.796,1188
830.382,4734,830.544,1191
831.13,4698,831.291,1188
831.878,4736,832.039,1194
832.626,4703,832.786,1190
833.374,4723,833.534,1186
834.121,4694,834.281,1179
834.869,4673,835.028,1188
835.616,4696,835.775,1190
836.363,4702,836.521,1180
837.11,4695,837.268,1178
837.857,4639,838.014,1184
838.604,4645,838.76,1184
839.35,4674,839.506,1190
840.097,4645,840.252,1189
840.843,4692,840.998,1197
841.589,4693,841.744,1187
842.335,4721,842.489,1180
843.081,4692,843.234,1179
843.826,4761,843.98,1178
844.572,4756,844.725,1181
845.317,4753,845.469,1185
846.062,4729,846.214,1188
846.807,4742,846.959,1180
847.552,4771,847.703,1173
848.297,4786,848.447,1186
849.041,4782,849.191,1181
849.785,4743,849.935,1189
850.53,4700,850.679,1181
851.274,4722,851.423,1182
852.018,4687,852.166,1182
852.761,4671,852.91,1170
853.505,4620,853.653,1178
854.249,4660,854.396,1177
854.992,4658,855.139,1189
855.735,4622,855.881,1171
856.478,4625,856.624,1167
857.221,4625,857.366,1173
857.964,4562,858.109,1166
858.706,4568,858.851,1160
859.449,4552,859.593,1159
860.191,4523,860.335,1151
860.933,4539,861.076,1177
861.675,4527,861.818,1163
862.417,4531,862.559,1154
863.159,4446,863.3,1162
863.9,4496,864.042,1155
864.641,4496,864.782,1160
865.383,4516,865.523,1155
866.124,4515,866.264,1158
866.865,4500,867.004,1162
867.605,4497,867.745,1154
868.346,4444,868.485,1161
869.087,4473,869.225,1161
869.827,4463,869.965,1166
870.567,4478,870.704,1162
871.307,4443,871.444,1162
872.047,4466,872.183,1158
872.787,4489,872.923,1153
873.526,4495,873.662,1154
874.266,4483,874.401,1156
875.005,4493,875.14,1161
875.744,4473,875.878,1151
876.483,4449,876.617,1153
877.222,4459,877.355,1158
877.96,4502,878.093,1155
878.699,4477,878.832,1147
879.437,4467,879.569,1154
880.175,4471,880.307,1156
880.913,4480,881.045,1160
881.651,4479,881.782,1150
882.389,4451,882.52,1157
883.127,4442,883.257,1158
883.864,4457,883.994,1150
884.601,4478,884.731,1155
885.339,4460,885.467,1151
886.076,4492,886.204,1153
886.813,4487,886.94,1145
887.549,4479,887.677,1151
888.286,4489,888.413,1159
889.022,4496,889.149,1152
889.758,4493,889.885,1157
890.495,4470,890.62,1162
891.23,4461,891.356,1153
891.966,4468,892.091,1151
892.702,4459,892.826,1148
893.437,4473,893.561,1146
894.173,4439,894.296,1153
894.908,4460,895.031,1143
895.643,4474,895.766,1148
896.378,4435,896.5,1142
897.113,4423,897.235,1141
897.847,4433,897.969,1142
898.582,4417,898.703,1148
899.316,4405,899.437,1144
900.05,4416,900.17,1137
900.784,4407,900.904,1142
901.518,4393,901.637,1136
902.252,4425,902.371,1141
902.985,4390,903.104,1141
903.719,4416,903.837,1144
904.452,4387,904.57,1149
905.185,4376,905.302,1148
905.918,4405,906.035,1140
906.651,4349,906.767,1141
907.383,4384,907.499,1131
908.116,4347,908.231,1146
908.848,4372,908.963,1150
909.581,4378,909.695,1142
910.313,4385,910.427,1146
911.045,4384,911.158,1144
911.776,4401,911.89,1143
912.508,4369,912.621,1147
913.239,4421,913.352,1144
913.971,4399,914.083,1148
914.702,4388,914.813,1143
915.433,4367,915.544,1139
916.164,4407,916.275,1150
916.894,4409,917.005,1145
917.625,4451,917.735,1136
918.355,4431,918.465,1147
919.086,4399,919.195,1147
919.816,4382,919.925,1133
920.546,4376,920.654,1138
921.276,4416,921.383,1137
922.005,4382,922.113,1135
922.735,4373,922.842,1140
923.464,4401,923.571,1142
924.193,4409,924.3,1146
924.922,4397,925.028,1144
925.651,4410,925.757,1153
926.38,4444,926.485,1158
927.109,4395,927.213,1142
927.837,4418,927.941,1146
928.566,4454,928.669,1139
929.294,4462,929.397,1159
930.022,4451,930.125,1161
930.75,4430,930.852,1152
931.477,4423,931.579,1150
932.205,4436,932.307,1152
932.932,4448,933.034,1146
933.66,4442,933.76,1141
934.387,4470,934.487,1160
935.114,4435,935.214,1147
935.841,4413,935.94,1139
936.567,4438,936.666,1141
937.294,4437,937.393,1146
938.02,4463,938.119,1144
938.747,4458,938.844,1141
939.473,4465,939.57,1140
940.199,4474,940.296,1146
940.924,4442,941.021,1155
941.65,4434,941.746,1146
942.376,4412,942.471,1147
943.101,4417,943.196,1147
943.826,4401,943.921,1151
944.551,4457,944.646,1155
945.276,4446,945.37,1148
946.001,4403,946.095,1139
946.725,4449,946.819,1147
947.45,4429,947.543,1148
948.174,4409,948.267,1140
948.898,4407,948.99,1138
949.622,4459,949.714,1139
950.346,4434,950.438,1137
951.07,4438,951.161,1139
951.794,4440,951.884,1138
952.517,4430,952.607,1155
953.24,4389,953.33,1141
953.963,4419,954.053,1138
954.686,4441,954.775,1132
955.409,4405,955.498,1126
956.132,4446,956.22,1144
956.854,4414,956.942,1142
957.577,4417,957.664,1139
958.299,4387,958.386,1131
959.021,4415,959.108,1124
959.743,4370,959.829,1132
960.465,4414,960.55,1137
961.187,4389,961.272,1136
961.908,4380,961.993,1145
962.629,4370,962.714,1138
963.351,4384,963.435,1147
964.072,4391,964.155,1139
964.793,4378,964.876,1130
965.513,4383,965.596,1131
966.234,4374,966.316,1139
966.954,4363,967.036,1133
967.675,4384,967.756,1122
968.395,4313,968.476,1127
969.115,4349,969.196,1131
969.835,4357,969.915,1134
970.555,4374,970.634,1130
971.274,4350,971.354,1129
971.994,4376,972.073,1136
972.713,4387,972.792,1123
973.432,4350,973.51,1130
974.151,4348,974.229,1123
974.87,4372,974.947,1131
975.589,4351,975.666,1120
976.307,4371,976.384,1124
977.025,4350,977.102,1136
977.744,4332,977.82,1138
978.462,4357,978.537,1124
979.18,4358,979.255,1130
979.898,4350,979.972,1124
980.615,4383,980.69,1133
981.333,4360,981.407,1130
982.05,4378,982.124,1130
982.767,4378,982.84,1131
983.484,4364,983.557,1121
984.201,4359,984.274,1133
984.918,4375,984.99,1127
985.635,4355,985.706,1126
986.351,4371,986.422,1130
987.068,4365,987.138,1135
987.784,4367,987.854,1122
988.5,4378,988.57,1131
989.216,4371,989.285,1131
989.931,4378,990.001,1126
990.647,4389,990.716,1142
991.363,4427,991.431,1136
992.078,4415,992.146,1128
992.793,4422,992.861,1138
993.508,4442,993.575,1142
994.223,4486,994.29,1148
994.938,4563,995.004,1151
995.652,4607,995.718,1157
996.367,4701,996.432,1175
997.081,4805,997.146,1184
997.795,4904,997.86,1179
998.509,4959,998.573,1187
999.223,4963,999.287,1187
999.937,4885,1000,1176
1000.65,4830,1000.71,1173
1001.36,4718,1001.43,1156
1002.08,4623,1002.14,1152
1002.79,4565,1002.85,1154
1003.5,4476,1003.56,1140
1004.22,4427,1004.28,1130
1004.93,4394,1004.99,1142
1005.64,4365,1005.7,1124
1006.35,4372,1006.41,1130
1007.07,4358,1007.13,1126
1007.78,4404,1007.84,1129
1008.49,4350,1008.55,1123
1009.2,4342,1009.26,1117
1009.91,4320,1009.97,1126
1010.62,4352,1010.68,1129
1011.34,4370,1011.39,1123
1012.05,4333,1012.1,1120
1012.76,4373,1012.81,1119
1013.47,4379,1013.53,1124
1014.18,4365,1014.24,1121
1014.89,4349,1014.95,1122
1015.6,4369,1015.66,1129
1016.31,4330,1016.37,1121
1017.02,4349,1017.08,1133
1017.73,4358,1017.79,1127
1018.44,4370,1018.49,1129
1019.15,4377,1019.2,1112
1019.86,4366,1019.91,1120
1020.57,4366,1020.62,1128
1021.28,4419,1021.33,1125
1021.99,4425,1022.04,1131
1022.7,4464,1022.75,1124
1023.41,4493,1023.46,1133
1024.11,4494,1024.17,1132
1024.82,4495,1024.87,1134
1025.53,4506,1025.58,1134
1026.24,4512,1026.29,1145
1026.95,4591,1027,1141
1027.66,4595,1027.7,1146
1028.36,4580,1028.41,1138
1029.07,4598,1029.12,1145
1029.78,4634,1029.83,1142
1030.49,4650,1030.53,1142
1031.19,4630,1031.24,1139
1031.9,4690,1031.95,1132
1032.61,4723,1032.65,1132
1033.31,4722,1033.36,1135
1034.02,4672,1034.07,1126
1034.73,4682,1034.77,1126
1035.43,4693,1035.48,1140
1036.14,4721,1036.18,1138
1036.85,4755,1036.89,1133
1037.55,4720,1037.6,1136
1038.26,4757,1038.3,1138
1038.96,4832,1039.01,1138
1039.67,4777,1039.71,1147
1040.38,4788,1040.42,1132
1041.08,4753,1041.12,1126
1041.79,4788,1041.83,1135
1042.49,4783,1042.53,1132
1043.2,4761,1043.24,1123
1043.9,4735,1043.94,1125
1044.6,4687,1044.64,1128
1045.31,4676,1045.35,1122
1046.01,4643,1046.05,1128
1046.72,4595,1046.76,1123
1047.42,4573,1047.46,1125
1048.12,4559,1048.16,1116
1048.83,4519,1048.87,1121
1049.53,4515,1049.57,1119
1050.23,4472,1050.27,1116
1050.94,4463,1050.97,1117
1051.64,4459,1051.68,1111
1052.34,4430,1052.38,1119
1053.05,4404,1053.08,1113
1053.75,4407,1053.78,1118
1054.45,4411,1054.49,1110
1055.15,4390,1055.19,1110
1055.86,4355,1055.89,1118
1056.56,4365,1056.59,1104
1057.26,4307,1057.29,1107
1057.96,4238,1057.99,1109
1058.66,4245,1058.7,1114
1059.36,4235,1059.4,1117
1060.07,4259,1060.1,1113
1060.77,4214,1060.8,1111
1061.47,4209,1061.5,1109
1062.17,4223,1062.2,1103
1062.87,4216,1062.9,1105
1063.57,4203,1063.6,1088
1064.27,4211,1064.3,1096
