File Version;BWSpec4.02_14
Date;2017-10-31 15:32:57
title;BWS415-785S-PRB
model;BTC162-785S-SYS
c code;ORX
operator;
port1;0
baud1;3
pixel_start;0
pixel_end;2047
step;1
units;3
bkcolor;16777215
show_mode;3
data_mode;0
pixel_mode;0
intigration times(ms);1000
average number;1
time_multiply;6
spectrometer_type ;14
yaxis;1
yaxis_min;0
yaxis_max;60000
xaxis;1
xaxis_min;183
xaxis_max;1973
irrands_DispWLMin;100
irrands_DispWLMax;1000
yaxis_min_6;0
yaxis_max_6;0
irradiance_unit;0
Color_Data_Flag;0
Color_StartWL;770
Color_EndWL;770
Color_IncWL;10
power_unit_index;3
photometric_index;0
Illuminant_index;3
observer_index;0
lab_l;0
lab_a;0
lab_b;0
radiometric_flag;0
coefs_a0;769,425552688777
coefs_a1;0,153008995292799
coefs_a2;-4,59156988979995E-06
coefs_a3;-6,53524460424591E-10
coefs_b0;-5863,28138644893
coefs_b1;10,5221106288986
coefs_b2;-0,00615548365754513
coefs_b3;3,09832302014358E-06
all_data_save;1
select_option;-1
interval_time;1000
pixel_num;2048
sel_pixel_start;2016
sel_pixel_end;0
sel_pixel_delta;1
dark_compensate;0
dark_compensate_value_1;0
dark_compensate_value_2;0
dark_compensate_value_3;0
monitor pixel_0;0
monitor pixel_1;0
monitor pixel_2;0
monitor pixel_3;0
monitor pixel_4;0
monitor pixel_5;0
vertical_select_flag;0
vertical_line3;0
vertical_line4;0
vertical_line3_wv;1
vertical_line4_wv;1
vertical_line_flag;0
vertical_line_ratio;0
laser_wavelength;784,87
laser_powerlevel;20
overlay_js;0
Relative Intensity Correction Flag;0
Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (lumen) #1;
46;   ;   ;   ;865,0000;65535,0000;1090,0000;225,0000;0,0000;0,0000;0,0000;
47;   ;   ;   ;920,0000;65535,0000;1094,0000;174,0000;0,0000;0,0000;0,0000;
48;   ;   ;   ;920,0000;65535,0000;1150,0000;230,0000;0,0000;0,0000;0,0000;
49;   ;   ;   ;981,0000;65535,0000;1136,0000;155,0000;0,0000;0,0000;0,0000;
50;   ;   ;   ;1015,0000;65535,0000;1159,0000;144,0000;0,0000;0,0000;0,0000;
51;   ;   ;   ;1101,0000;65535,0000;1287,0000;186,0000;0,0000;0,0000;0,0000;
52;   ;   ;   ;917,0000;65535,0000;959,0000;42,0000;0,0000;0,0000;0,0000;
53;   ;   ;   ;887,0000;65535,0000;967,0000;80,0000;0,0000;0,0000;0,0000;
54;   ;   ;   ;981,0000;65535,0000;1058,0000;77,0000;0,0000;0,0000;0,0000;
55;   ;   ;   ;1004,0000;65535,0000;1132,0000;128,0000;0,0000;0,0000;0,0000;
56;   ;   ;   ;1029,0000;65535,0000;1066,0000;37,0000;0,0000;0,0000;0,0000;
57;   ;   ;   ;1000,0000;65535,0000;1091,0000;91,0000;0,0000;0,0000;0,0000;
58;   ;   ;   ;887,0000;65535,0000;1107,0000;220,0000;0,0000;0,0000;0,0000;
59;   ;   ;   ;1076,0000;65535,0000;1208,0000;132,0000;0,0000;0,0000;0,0000;
60;   ;   ;   ;899,0000;65535,0000;1093,0000;194,0000;0,0000;0,0000;0,0000;
61;   ;   ;   ;1053,0000;65535,0000;1216,0000;163,0000;0,0000;0,0000;0,0000;
62;   ;   ;   ;981,0000;65535,0000;1088,0000;107,0000;0,0000;0,0000;0,0000;
63;   ;   ;   ;1026,0000;65535,0000;1180,0000;154,0000;0,0000;0,0000;0,0000;
64;   ;   ;   ;1005,0000;65535,0000;974,0000;-31,0000;0,0000;0,0000;0,0000;
65;   ;   ;   ;963,0000;65535,0000;1083,0000;120,0000;0,0000;0,0000;0,0000;
66;   ;   ;   ;899,0000;65535,0000;1020,0000;121,0000;0,0000;0,0000;0,0000;
67;   ;   ;   ;999,0000;65535,0000;1132,0000;133,0000;0,0000;0,0000;0,0000;
68;   ;   ;   ;939,0000;65535,0000;1005,0000;66,0000;0,0000;0,0000;0,0000;
69;   ;   ;   ;956,0000;65535,0000;1084,0000;128,0000;0,0000;0,0000;0,0000;
70;   ;   ;   ;994,0000;65535,0000;1094,0000;100,0000;0,0000;0,0000;0,0000;
71;   ;   ;   ;972,0000;65535,0000;1105,0000;133,0000;0,0000;0,0000;0,0000;
72;   ;   ;   ;1053,0000;65535,0000;1165,0000;112,0000;0,0000;0,0000;0,0000;
73;   ;   ;   ;1021,0000;65535,0000;1116,0000;95,0000;0,0000;0,0000;0,0000;
74;   ;   ;   ;1032,0000;65535,0000;1076,0000;44,0000;0,0000;0,0000;0,0000;
75;   ;   ;   ;1103,0000;65535,0000;1261,0000;158,0000;0,0000;0,0000;0,0000;
76;   ;   ;   ;951,0000;65535,0000;1067,0000;116,0000;0,0000;0,0000;0,0000;
77;   ;   ;   ;1077,0000;65535,0000;1104,0000;27,0000;0,0000;0,0000;0,0000;
78;   ;   ;   ;909,0000;65535,0000;1100,0000;191,0000;0,0000;0,0000;0,0000;
79;   ;   ;   ;989,0000;65535,0000;1117,0000;128,0000;0,0000;0,0000;0,0000;
80;   ;   ;   ;1056,0000;65535,0000;1170,0000;114,0000;0,0000;0,0000;0,0000;
81;   ;   ;   ;1106,0000;65535,0000;1254,0000;148,0000;0,0000;0,0000;0,0000;
82;   ;   ;   ;1011,0000;65535,0000;1193,0000;182,0000;0,0000;0,0000;0,0000;
83;   ;   ;   ;843,0000;65535,0000;1047,0000;204,0000;0,0000;0,0000;0,0000;
84;   ;   ;   ;932,0000;65535,0000;1073,0000;141,0000;0,0000;0,0000;0,0000;
85;   ;   ;   ;1013,0000;65535,0000;1124,0000;111,0000;0,0000;0,0000;0,0000;
86;   ;   ;   ;969,0000;65535,0000;1053,0000;84,0000;0,0000;0,0000;0,0000;
87;   ;   ;   ;1057,0000;65535,0000;1120,0000;63,0000;0,0000;0,0000;0,0000;
88;   ;   ;   ;947,0000;65535,0000;1081,0000;134,0000;0,0000;0,0000;0,0000;
89;   ;   ;   ;918,0000;65535,0000;1128,0000;210,0000;0,0000;0,0000;0,0000;
90;   ;   ;   ;993,0000;65535,0000;1148,0000;155,0000;0,0000;0,0000;0,0000;
91;   ;   ;   ;1004,0000;65535,0000;1103,0000;99,0000;0,0000;0,0000;0,0000;
92;   ;   ;   ;1050,0000;65535,0000;1106,0000;56,0000;0,0000;0,0000;0,0000;
