ENLIGHTEN Version,2.2.7
Measurement ID,20201009-093705-137238-WP-00702
Serial Number,WP-00702
Model,WP-785-C2-LMMFC
Label,09:37:05 WP-00702
Declared Match,
Declared Score,0
Scan Averaging,10
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,0
ROI Pixel End,1023
Slit Width,25
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,1000
Timestamp,2020-10-09 09:37:05.137238
Note,
Temperature,-14.357069319858056
CCD C0,790.7625122070312
CCD C1,0.28129664063453674
CCD C2,1.8011121937888674e-05
CCD C3,-2.512435592905149e-08
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.051
Laser Enable,True
Laser Power,50.0
Laser Temperature,-95.6635622537485
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark,Reference
0,790.76,92.00,36900.60,36900.60,,
1,791.04,96.50,37279.80,37279.80,,
2,791.33,101.00,37616.10,37616.10,,
3,791.61,105.49,37658.90,37658.90,,
4,791.89,109.98,37406.10,37406.10,,
5,792.17,114.46,36774.00,36774.00,,
6,792.45,118.95,35999.90,35999.90,,
7,792.73,123.43,35049.10,35049.10,,
8,793.01,127.91,34020.70,34020.70,,
9,793.30,132.38,33058.40,33058.40,,
10,793.58,136.86,32193.80,32193.80,,
11,793.86,141.33,31451.90,31451.90,,
12,794.14,145.80,30783.70,30783.70,,
13,794.42,150.26,30093.30,30093.30,,
14,794.70,154.73,29270.20,29270.20,,
15,794.99,159.19,28362.90,28362.90,,
16,795.27,163.64,27445.60,27445.60,,
17,795.55,168.10,26536.50,26536.50,,
18,795.83,172.55,25892.00,25892.00,,
19,796.11,177.00,25693.20,25693.20,,
20,796.40,181.45,25891.30,25891.30,,
21,796.68,185.89,26365.40,26365.40,,
22,796.96,190.34,27011.00,27011.00,,
23,797.24,194.78,27799.20,27799.20,,
24,797.52,199.21,28742.50,28742.50,,
25,797.81,203.65,29698.00,29698.00,,
26,798.09,208.08,30709.90,30709.90,,
27,798.37,212.51,31907.00,31907.00,,
28,798.65,216.93,33217.20,33217.20,,
29,798.93,221.36,34687.80,34687.80,,
30,799.22,225.78,36389.40,36389.40,,
31,799.50,230.20,38051.20,38051.20,,
32,799.78,234.61,39358.80,39358.80,,
33,800.06,239.03,39835.70,39835.70,,
34,800.35,243.44,38904.50,38904.50,,
35,800.63,247.84,36555.00,36555.00,,
36,800.91,252.25,33003.50,33003.50,,
37,801.19,256.65,29161.50,29161.50,,
38,801.48,261.05,25814.50,25814.50,,
39,801.76,265.45,23185.70,23185.70,,
40,802.04,269.84,21284.00,21284.00,,
41,802.32,274.24,19939.40,19939.40,,
42,802.61,278.63,18885.90,18885.90,,
43,802.89,283.01,18056.40,18056.40,,
44,803.17,287.40,17389.30,17389.30,,
45,803.46,291.78,16806.80,16806.80,,
46,803.74,296.16,16323.70,16323.70,,
47,804.02,300.53,15880.60,15880.60,,
48,804.30,304.91,15504.20,15504.20,,
49,804.59,309.28,15150.90,15150.90,,
50,804.87,313.65,14881.60,14881.60,,
51,805.15,318.01,14644.20,14644.20,,
52,805.44,322.38,14395.90,14395.90,,
53,805.72,326.74,14266.20,14266.20,,
54,806.00,331.09,14155.50,14155.50,,
55,806.28,335.45,14072.70,14072.70,,
56,806.57,339.80,14072.40,14072.40,,
57,806.85,344.15,14083.50,14083.50,,
58,807.13,348.50,14156.30,14156.30,,
59,807.42,352.85,14287.40,14287.40,,
60,807.70,357.19,14496.30,14496.30,,
61,807.98,361.53,14725.00,14725.00,,
62,808.27,365.86,15007.40,15007.40,,
63,808.55,370.20,15348.30,15348.30,,
64,808.83,374.53,15630.80,15630.80,,
65,809.12,378.86,15829.90,15829.90,,
66,809.40,383.18,15957.60,15957.60,,
67,809.68,387.51,16009.20,16009.20,,
68,809.97,391.83,15988.80,15988.80,,
69,810.25,396.15,15909.60,15909.60,,
70,810.53,400.46,15710.90,15710.90,,
71,810.82,404.78,15438.20,15438.20,,
72,811.10,409.09,15063.20,15063.20,,
73,811.38,413.40,14647.10,14647.10,,
74,811.67,417.70,14313.60,14313.60,,
75,811.95,422.00,14045.40,14045.40,,
76,812.23,426.30,13830.00,13830.00,,
77,812.52,430.60,13688.50,13688.50,,
78,812.80,434.90,13614.30,13614.30,,
79,813.08,439.19,13571.10,13571.10,,
80,813.37,443.48,13519.70,13519.70,,
81,813.65,447.76,13440.30,13440.30,,
82,813.94,452.05,13398.80,13398.80,,
83,814.22,456.33,13376.90,13376.90,,
84,814.50,460.61,13318.60,13318.60,,
85,814.79,464.89,13253.60,13253.60,,
86,815.07,469.16,13224.50,13224.50,,
87,815.36,473.43,13166.50,13166.50,,
88,815.64,477.70,13126.80,13126.80,,
89,815.92,481.97,13079.70,13079.70,,
90,816.21,486.23,13094.80,13094.80,,
91,816.49,490.49,13111.10,13111.10,,
92,816.77,494.75,13092.10,13092.10,,
93,817.06,499.00,13071.40,13071.40,,
94,817.34,503.26,13061.10,13061.10,,
95,817.63,507.51,13041.40,13041.40,,
96,817.91,511.75,13012.80,13012.80,,
97,818.19,516.00,13011.70,13011.70,,
98,818.48,520.24,12952.70,12952.70,,
99,818.76,524.48,12920.40,12920.40,,
100,819.05,528.72,12862.20,12862.20,,
101,819.33,532.95,12839.00,12839.00,,
102,819.62,537.18,12787.80,12787.80,,
103,819.90,541.41,12758.20,12758.20,,
104,820.18,545.64,12746.70,12746.70,,
105,820.47,549.86,12741.30,12741.30,,
106,820.75,554.08,12782.40,12782.40,,
107,821.04,558.30,12896.40,12896.40,,
108,821.32,562.52,13105.60,13105.60,,
109,821.61,566.73,13577.70,13577.70,,
110,821.89,570.94,14212.10,14212.10,,
111,822.17,575.15,14336.70,14336.70,,
112,822.46,579.36,13935.00,13935.00,,
113,822.74,583.56,13537.10,13537.10,,
114,823.03,587.76,13331.70,13331.70,,
115,823.31,591.96,13240.40,13240.40,,
116,823.60,596.15,13263.40,13263.40,,
117,823.88,600.34,13292.70,13292.70,,
118,824.17,604.53,13220.50,13220.50,,
119,824.45,608.72,13110.90,13110.90,,
